label_id,tenant_id,survey_participation_id,participant_id,survey_id,question_id,evaluated_at,score,sentiment,risk_flag,tags,summary,checked_at,created_at,updated_at,should_display,display_label,display_note,severity,confidence,themes,risk_flags,action,label_payload,label_version,prompt_version,label_model,input_fingerprint,labeled_at
17,1,21,12,1768646102913,14,2026-01-17 10:40:15.618221+00,0.500,neutral,f,"[""öneri"", ""anket"", ""likert ölçeği"", ""soru""]","Katılımcı, bu soruların likert ölçekli olarak da toplanabileceğini önermektedir.",2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.800,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.8, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,6e3095854df064a11e68b73840e193d904a449accb7b667823e2d2d1ab8e6110,2026-01-19 21:02:58.057762+00
18,1,22,12,1768646102913,15,2026-01-17 10:40:16.68519+00,0.500,neutral,f,"[""sorun yok"", ""olumlu"", ""nötr""]",Katılımcı herhangi bir sorun olmadığını belirtmiş.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,Neutral feedback on service value,Participant indicates no issues but provides no specific positive or negative feedback.,0.000,0.900,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.9, ""risk_flags"": [], ""display_note"": ""Participant indicates no issues but provides no specific positive or negative feedback."", ""display_label"": ""Neutral feedback on service value"", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,449867d6b54467bd9d06a9a81e444e6798ffa234de360fb035464e356c779e27,2026-01-19 21:02:58.057762+00
19,1,23,13,1768646102913,12,2026-01-17 10:41:04.782633+00,0.900,positive,f,"[""olumlu"", ""memnuniyet""]","Katılımcı, durumu çok olumlu bulduğunu belirtiyor.",2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.900,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.9, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,6282b4d76ad52d805e2cc2ef013b86f111be9762fae8931cde610e34947e86e5,2026-01-19 21:02:58.057762+00
20,1,24,13,1768646102913,13,2026-01-17 10:41:05.881701+00,0.300,negative,f,"[""problemler"", ""olumsuzluk""]",Katılımcı bazı problemler olduğunu belirtmiş.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,t,NovaVeri ekibi iletişim sorunları,Katılımcı NovaVeri ekibiyle iletişim ve destek süreçlerinde bazı problemler olduğunu belirtmiş.,0.300,0.800,"[""communication"", ""process""]",[],watch,"{""action"": ""watch"", ""themes"": [""communication"", ""process""], ""severity"": 0.3, ""confidence"": 0.8, ""risk_flags"": [], ""display_note"": ""Katılımcı NovaVeri ekibiyle iletişim ve destek süreçlerinde bazı problemler olduğunu belirtmiş."", ""display_label"": ""NovaVeri ekibi iletişim sorunları"", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": true}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,2a1f53cfb61cd44f9c84400e8d2e4e834fcfb3712306cf7f73829893f52b0468,2026-01-19 21:02:58.057762+00
21,1,25,13,1768646102913,14,2026-01-17 10:41:07.060348+00,0.900,positive,f,"[""memnuniyet"", ""uygunluk""]","Katılımcı, mevcut durumu tam olarak karşıladığını belirtiyor.",2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.900,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.9, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,30128deeb04b70cb10738439455f0d84e9d2151c0fefc1ec0bb78cf8c0f6ea0e,2026-01-19 21:02:58.057762+00
45,1,49,10,1768651046622,22,2026-01-17 12:02:19.792229+00,0.900,positive,f,"[""kalite"", ""problem çözme"", ""olumlu geri bildirim""]",Çalışanlar kaliteli bulunmuş ve sorunları önceden hesapladıkları belirtilmiş.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.900,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.9, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,a37b54a52c85ddb0990f81faf437339af884f8e49ff6af585b43692195225791,2026-01-19 21:02:58.057762+00
22,1,26,13,1768646102913,15,2026-01-17 10:41:08.018292+00,0.100,negative,f,"[""memnuniyetsizlik""]",Çalışan memnun değil.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,t,Memnuniyetsizlik NovaVeri hizmetleri,Çalışan NovaVeri hizmetlerinden memnun değil.,0.300,0.900,"[""tools_systems""]",[],watch,"{""action"": ""watch"", ""themes"": [""tools_systems""], ""severity"": 0.3, ""confidence"": 0.9, ""risk_flags"": [], ""display_note"": ""Çalışan NovaVeri hizmetlerinden memnun değil."", ""display_label"": ""Memnuniyetsizlik NovaVeri hizmetleri"", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": true}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,541145ffb8bf1e56cdf501b90afb04ac0a500b1e4281392b1a581e38fc4636ee,2026-01-19 21:02:58.057762+00
23,1,27,15,1768647166710,16,2026-01-17 11:15:04.104711+00,0.500,neutral,f,"[""belirsizlik"", ""tepkisizlik""]",Katılımcı net bir duygu veya görüş belirtmemiştir.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.000,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.0, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,35eb15dfe9d8c901d9f757dfc764ba041f7e8cf6b52d8715f47b223a46a7807b,2026-01-19 21:02:58.057762+00
24,1,28,15,1768647166710,17,2026-01-17 11:15:05.394636+00,0.500,neutral,f,"[""sorun yok"", ""olumlu""]",Katılımcı herhangi bir sıkıntı olmadığını belirtmiş.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.000,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.0, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,e109948bb3b0694b63abb2c3af2a9637b3aa7ea0de60ab3fd7c8067c58af3be1,2026-01-19 21:02:58.057762+00
25,1,29,15,1768647166710,18,2026-01-17 11:15:06.559317+00,0.500,neutral,f,"[""onay"", ""kısa cevap""]","Katılımcı, verilen ifadeye katıldığını kısa bir şekilde belirtmiş.",2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.500,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.5, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,970dba5ad6b1796d77fe5696ee665cdbdbf0e4a918b6fe0bc51e8d04acfaf1bc,2026-01-19 21:02:58.057762+00
26,1,30,15,1768647166710,19,2026-01-17 11:15:07.56668+00,0.500,neutral,f,"[""memnuniyet"", ""sorun yok""]",Katılımcı herhangi bir sıkıntı olmadığını belirtmiş.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,0.500,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 0.5, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,f824834aad5641465bb5731cadb24a76943620158ca0d0c757ee11dfe063e71f,2026-01-19 21:02:58.057762+00
27,1,31,36,1768651046622,20,2026-01-17 12:00:04.554142+00,1.000,positive,f,"[""onay"", ""olumlu""]",Katılımcı soruya olumlu bir şekilde 'Evet' yanıtı vermiştir.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,1.000,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 1.0, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,6b51ecae5ad6f121962d2ce3eb55728e3998209eadaa578f1e2aad5b89169248,2026-01-19 21:02:58.057762+00
28,1,32,36,1768651046622,21,2026-01-17 12:00:05.48589+00,1.000,positive,f,"[""olumlu""]",Katılımcı soruya olumlu bir yanıt vermiştir.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,Positive communication feedback,The respondent is satisfied with communication with NovaVeri employees.,0.000,1.000,"[""communication""]",[],ignore,"{""action"": ""ignore"", ""themes"": [""communication""], ""severity"": 0.0, ""confidence"": 1.0, ""risk_flags"": [], ""display_note"": ""The respondent is satisfied with communication with NovaVeri employees."", ""display_label"": ""Positive communication feedback"", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,4f7afb049b81f2e0c3a14258f3ff05a2853cbee0a8ccbe6a47bf46b19b586a98,2026-01-19 21:02:58.057762+00
29,1,33,36,1768651046622,22,2026-01-17 12:00:06.513109+00,1.000,positive,f,"[""olumlu"", ""onay""]",Katılımcı soruya olumlu bir yanıt vermiştir.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,1.000,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 1.0, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,d60bfa82992e9a1b997357beda33979e2e1404cc601558a5191b4c601bf36d3e,2026-01-19 21:02:58.057762+00
30,1,34,36,1768651046622,23,2026-01-17 12:00:07.737898+00,1.000,positive,f,"[""onay"", ""olumlu""]",Katılımcı soruya olumlu bir şekilde 'Evet' yanıtı vermiştir.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,1.000,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 1.0, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,53d79a26dd9273aa55f619859978bd9154bc839c32ef4128c20ccc1db6bd5d4a,2026-01-19 21:02:58.057762+00
31,1,35,36,1768651046622,24,2026-01-17 12:00:08.711848+00,1.000,positive,f,"[""olumlu""]",Katılımcı soruya olumlu bir yanıt vermiştir.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,1.000,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 1.0, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,861ac4c629dacbc194fc9541c3ec3235b946a10f189e9f1cc2f33a32a42cdd8b,2026-01-19 21:02:58.057762+00
32,1,36,36,1768651046622,25,2026-01-17 12:00:09.608142+00,1.000,positive,f,"[""olumlu""]",Katılımcı soruya olumlu bir yanıt vermiştir.,2026-01-19 21:02:58.057762+00,2026-01-19 21:02:57.758108+00,2026-01-19 21:02:58.057762+00,f,,,0.000,1.000,[],[],ignore,"{""action"": ""ignore"", ""themes"": [], ""severity"": 0.0, ""confidence"": 1.0, ""risk_flags"": [], ""display_note"": """", ""display_label"": """", ""label_version"": ""v1"", ""prompt_version"": ""labeler_v1_2026_01_19"", ""should_display"": false}",v1,labeler_v1_2026_01_19,gpt-4.1-mini,4fb73999a9952e260639a163735b5397982dc64a864a1decd6ab1c7fd24f1c79,2026-01-19 21:02:58.057762+00
